,Song Title,Artist,Song ID,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,bpm,duration (ms),duration (secs),top year
33,Supalonely (feat. Gus Dapperton),BENEE,3GZoWLVbmxcBys6g0DLFLf,62,0.862,0.631,7,-4.746,1,0.0515,0.291,0.000209,0.123,0.841,128.978,223488,223.488,2020
34,ily (i love you baby) (feat. Emilee),Surf Mesa,62aP9fBQKYKxi7PDXwcUAS,77,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,176.547,2020
35,Rain On Me (with Ariana Grande),Lady Gaga,7ju97lgwC2rKQ6wwsf9no9,76,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,182200,182.2,2020
36,HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,83,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,175.721,2020
37,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0RiRZpuVRbi7oqRdSMwhQY,83,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560,157.56,2020
38,Hawái,Maluma,1yoMvmasuxZfqHEipJhRbp,79,0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,199112,199.112,2020
39,Ride It,Regard,2tnVG71enUj33Ic2nFN6kZ,81,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,157.606,2020
40,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,85,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243837,243.837,2020
41,RITMO (Bad Boys For Life),Black Eyed Peas,5NyS3oxTlos3Agl2YtZwrC,65,0.732,0.716,10,-6.968,0,0.0561,0.0295,0.000758,0.73,0.666,105.093,214855,214.855,2020
42,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,77,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165978,165.978,2020
43,Safaera,Bad Bunny,2DEZmgHKAvm41k4J3R2E9Y,79,0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,295177,295.177,2020
44,lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,90,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,200.186,2020
45,Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,85,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,239.836,2020
46,Stuck with U (with Justin Bieber),Ariana Grande,4HBZA5flZLE435QTztThqH,82,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,228.482,2020
47,If the World Was Ending (feat. Julia Michaels),JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,79,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,208687,208.687,2020
48,Physical,Dua Lipa,3AzjcOeAmA57TIOr9zF1ZW,78,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,193829,193.829,2020
49,SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,84,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,312.82,2020
