Song Title,Artist,Song ID,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,bpm,duration (ms),duration (secs),top year
LA NOCHE DE ANOCHE,Bad Bunny,2XIc1pqjXV3Cr2BQUGNBck,87,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,203.201,2021
Streets,Doja Cat,60ynsPSSKe6O3sfwRnIBRf,87,0.7490000000000001,0.4629999999999999,11,-8.433,1,0.0842,0.21,0.0382,0.3379999999999999,0.1889999999999999,90.035,226987,226.987,2021
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,92,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.1009999999999999,0.3979999999999999,124.053,240400,240.4,2021
Fiel,Los Legendarios,7Bk0uXKk1uPT0XuQbpFzvs,82,0.8490000000000001,0.701,6,-4.407,0,0.06,0.407,0.0,0.1119999999999999,0.505,98.005,261667,261.667,2021
Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,93,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.1939999999999999,130.041,210560,210.56,2021
Don't Start Now,Dua Lipa,3PfIrDoz19wz7qK7tYeu62,84,0.7929999999999999,0.7929999999999999,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290,183.29,2021
Lemonade (feat. Gunna Don Toliver & NAV),Internet Money,7hxHWCCAIIxFLCzvDgnQHX,81,0.8,0.6579999999999999,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,195429,195.429,2021
Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,95,0.8240000000000001,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.1169999999999999,0.8809999999999999,107.998,172627,172.627,2021
Arcade,Duncan Laurence,1J14CdDAvBTE1AJYUOwl6C,78,0.4529999999999999,0.35,9,-11.639,0,0.0425,0.8270000000000001,0.00122,0.144,0.2789999999999999,72.017,185147,185.147,2021
Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,86,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,279.204,2021
Qué Más Pues?,J Balvin,6D2TCm4nf5nxAcdGJ7w3QP,79,0.903,0.8170000000000001,8,-3.972,1,0.095,0.0272,0.0003109999999999,0.242,0.732,102.014,217360,217.36,2021
Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,86,0.7340000000000001,0.8740000000000001,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,166.028,2021
34+35,Ariana Grande,6Im9k8u9iIzKMrmV7BWtlF,85,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,173.711,2021
you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,88,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,169.266,2021
Pareja Del Año,Sebastian Yatra,2rCbl9naJYhaxjLsfx88uM,86,0.715,0.622,4,-5.102,0,0.046,0.163,0.0,0.0948,0.8079999999999999,80.015,195053,195.053,2021
As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7,92,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,167.303,2022
Heat Waves,Glass Animals,3USxtqRwSYz57Ewm6wWRMp,88,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,238.805,2022
STAY (with Justin Bieber),The Kid LAROI,5HCyWlXZPP0y6Gqq8TgA20,87,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,141.806,2022
Me Porto Bonito,Bad Bunny,6Sq7ltF9Qa7SNFBsV5Cogx,92,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,178.567,2022
Tití Me Preguntó,Bad Bunny,1IHWl5LamUGEuP4ozKQSXZ,90,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,243.717,2022
Cold Heart - PNAU Remix,Elton John,6zSpb8dQRaw0M1dK8PBwQz,86,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,202.735,2022
